Average: 0.09059072450432802
ID	Reference	Hypothesis	s+wms
16	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	3.5470504368916284e-07
17	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	1.2326723498364315e-06
18	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	2.6677904182454205e-06
19	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	1.2431592772580875e-06
20	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	1.5531994458224834e-06
21	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.9050783248375105
22	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	9.586695286618131e-07
23	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	2.420693312987448e-06
24	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	6.703208124072364e-07
25	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	4.003332645531663e-07
26	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	3.5736465827038115e-07
27	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	9.656624741603348e-07
28	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.9128077907931613
29	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	3.5964030113532213e-07
30	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	3.298712507362699e-07
31	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	4.6718925228812363e-07
32	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	1.2231426057863772e-06
33	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	2.4075174527636125e-06
34	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	3.5736159099807884e-07
35	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.8906759508865205
36	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.8870950944231466
37	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	6.481788195076219e-06
38	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Officials say at least 49 people were killed and dozens were injured in the shooting.	1.1145510202643229e-06
39	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	2.1385536514709654e-06
40	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	8.778196950547018e-07
41	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.933622189416607e-06
42	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	1.0481857102521562e-06
43	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	2.8398833257674196e-06
44	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	5.060908661936493e-07
45	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	4.342690815147262e-08
46	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	7.651618015402153e-07
47	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	6.76486950838048e-06
48	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.9207985919223088
49	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Officials say at least 49 people were killed and dozens were injured in the shooting.	8.733848103895283e-07
50	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	1.724107495347508e-05
51	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	1.5830166110981835e-06
52	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	5.2646433913664425e-06
53	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	1.5715934980086495e-06
54	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	3.341664042085176e-05
55	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	1.1749035115671734e-06
56	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	4.999035753266004e-08
57	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	5.838033784806321e-07
58	Officials say at least 49 people were killed and dozens were injured in the shooting.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	1.2054940182584918e-06
59	Officials say at least 49 people were killed and dozens were injured in the shooting.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	8.649582124369327e-07
60	Officials say at least 49 people were killed and dozens were injured in the shooting.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.944862077644138
61	Officials say at least 49 people were killed and dozens were injured in the shooting.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	1.430718097615659e-07
62	Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	7.594879054241131e-06
63	Officials say at least 49 people were killed and dozens were injured in the shooting.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.1795818217097028e-06
64	Officials say at least 49 people were killed and dozens were injured in the shooting.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	3.7610412233400305e-07
65	Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	3.4485141511217714e-06
66	Officials say at least 49 people were killed and dozens were injured in the shooting.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	2.8954765394072496e-07
67	Officials say at least 49 people were killed and dozens were injured in the shooting.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	5.954884794588679e-08
68	Officials say at least 49 people were killed and dozens were injured in the shooting.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	1.9416798314840723e-07
69	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	2.1604054338720016e-06
70	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	1.70142126499096e-05
71	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Officials say at least 49 people were killed and dozens were injured in the shooting.	1.4351238188318093e-07
72	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.9282040282287098
73	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	2.1930365947969786e-07
74	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	7.153283710972178e-07
75	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	3.579513316382507e-07
76	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	2.6012287349260705e-06
77	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	6.468656316687508e-07
78	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	5.457676424606229e-08
79	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	6.359768971204752e-07
80	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	9.263731124224717e-07
81	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	1.5795135009537605e-06
82	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Officials say at least 49 people were killed and dozens were injured in the shooting.	7.612078994498147e-06
83	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	2.2062165764944181e-07
84	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.9601610272756232
85	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	4.933175037450127e-07
86	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	1.6211386953279923e-07
87	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	1.0778395375544161e-06
88	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	2.62861137539115e-07
89	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	2.7526377532146615e-08
90	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	1.367615404895454e-07
91	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	1.9561259409406486e-06
92	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	5.324360004893276e-06
93	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	1.2392187762362301e-06
94	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	7.215364816283386e-07
95	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	5.010641423603884e-07
96	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.7676377416690526
97	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	1.4610118124794517e-06
98	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	1.2050606786098017e-06
99	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	1.4621269013512322e-06
100	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	5.080752676177723e-08
101	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	1.1719905314604118e-06
102	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	1.0858643309526229e-06
103	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	1.557997191503036e-06
104	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	3.777944266311347e-07
105	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	3.6342496478388464e-07
106	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	1.6171023842745528e-07
107	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.463272146185813e-06
108	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.8226211384706736
109	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	5.217885446720562e-07
110	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	5.992961941073055e-07
111	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	5.3384740486174294e-08
112	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	8.828898547671719e-07
113	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	2.9744413133195043e-06
114	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	3.3283631384335554e-05
115	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Officials say at least 49 people were killed and dozens were injured in the shooting.	3.419387625153552e-06
116	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	2.6403785003867545e-06
117	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	1.07468745050718e-06
118	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.1925374798209214e-06
119	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	5.313380477530846e-07
120	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.7753954870812808
121	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	4.518033897546846e-07
122	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	3.661965700541326e-08
123	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	3.269934268860511e-07
124	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	5.214995096645501e-07
125	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	1.1859831452281495e-06
126	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	2.96915981866616e-07
127	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	6.416266631762551e-07
128	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	2.6408203726632775e-07
129	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.4178800925485754e-06
130	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	5.715754470332508e-07
131	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	4.5740950842922074e-07
132	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.7415506173233133
