Average: 0.11320701909562916
ID	Reference	Hypothesis	wms
16	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.0018444895055022312
17	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.0053096023440657196
18	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.005904179080523977
19	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.00415352648480962
20	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.00578303695696919
21	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	1.0
22	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.0031423406020762833
23	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.004694091578034033
24	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.0023891171396071076
25	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.0012694629782216218
26	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.0018444895055022312
27	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.0031423406020762833
28	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	1.0
29	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	0.0017572593648273061
30	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	After Sandy hit the East Coast Monday night, more than 2 million New Jersey residents were left without power and feeling powerless	0.002176736398377112
31	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Superstorm Sandy crashed ashore this week, cutting a path of destruction several hundred miles long. Here are some numbers that help put it in perspective.	0.0016421531879987669
32	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Hurricane Sandy struck the Northeast hard when it made landfall in New Jersey Tuesday night. New York Magazine's cover reflects the damage.	0.0053096023440657196
33	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	Hurricane Sandy is poised to become an “unprecedented” superstorm that could leave millions of people in the Northeast without power for days or even weeks, experts said Saturday.	0.004694091578034033
34	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	One of the largest and fiercest storms to menace the East Coast in years caused widespread flooding, power outages and damage. At least 16 have died, AP reports.	0.0017572593648273061
35	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	The hurricane continued its march north, with powerful winds already affecting the region on Sunday and landfall expected on Monday or Tuesday.	1.0
36	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	1.0
37	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.012308640482887254
38	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.007112364950220218
39	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.0039711847028958275
40	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.006153081949496472
41	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.016762090760848874
42	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.004236538188787077
43	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.01831710618847442
44	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.0008429074979571991
45	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0012804747539602536
46	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0068158993435715005
47	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.012308640482887254
48	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	1.0
49	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.0020012323386822553
50	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.010731851080597448
51	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.001857964377372287
52	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.021041436763270048
53	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.002496778488821779
54	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.023304339387283875
55	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.0012839365172940748
56	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0007622147724244224
57	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0022262650097146465
58	Officials say at least 49 people were killed and dozens were injured in the shooting.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.007112364950220218
59	Officials say at least 49 people were killed and dozens were injured in the shooting.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.0020012323386822553
60	Officials say at least 49 people were killed and dozens were injured in the shooting.	Officials say at least 49 people were killed and dozens were injured in the shooting.	1.0
61	Officials say at least 49 people were killed and dozens were injured in the shooting.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.0008722100118355133
62	Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.009238019665727765
63	Officials say at least 49 people were killed and dozens were injured in the shooting.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.006706825015952091
64	Officials say at least 49 people were killed and dozens were injured in the shooting.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.001045037223058729
65	Officials say at least 49 people were killed and dozens were injured in the shooting.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.00937864383875922
66	Officials say at least 49 people were killed and dozens were injured in the shooting.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.00039750759528450665
67	Officials say at least 49 people were killed and dozens were injured in the shooting.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0021980327399587396
68	Officials say at least 49 people were killed and dozens were injured in the shooting.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0008697770566629506
69	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.0039711847028958275
70	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.010731851080597448
71	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.0008722100118355133
72	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	1.0
73	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.0006604029056021565
74	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.0033485948849378945
75	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.001105775852734537
76	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.010390057129875497
77	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.0011372107649582058
78	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.001003927196821281
79	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.002583844119212289
80	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.006153081949496472
81	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.001857964377372287
82	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.009238019665727765
83	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.0006604029056021565
84	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	1.0
85	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.002784835762408238
86	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.00040081426221057946
87	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.0029144804250894967
88	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.0003376202129988101
89	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0008722540985768806
90	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0006655990134633935
91	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.016762090760848874
92	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.0210414417799401
93	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.006706825015952091
94	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.0033485948849378945
95	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.002784835762408238
96	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	1.0
97	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.0026642133804845145
98	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.021251249642634633
99	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.001081766704756932
100	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0012703052675502803
101	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0025743635050748752
102	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.004236538188787077
103	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.002496778488821779
104	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.001045037223058729
105	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.001105775852734537
106	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.00040081426221057946
107	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.0026642133804845145
108	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	1.0
109	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.0019393704949505696
110	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.0008343395964282355
111	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0009439630033206668
112	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.002272939466599497
113	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.01831710618847442
114	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.023304339387283875
115	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.00937864383875922
116	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.010390057129875497
117	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.0029144804250894967
118	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.021251249642634633
119	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.0019393704949505696
120	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	1.0
121	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	0.001411413270148675
122	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.0010196925021170565
123	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.005331128317504702
124	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	A shooting at a gay nightclub in Orlando killed at least 50 people on Sunday, June 12. Orlando police said they shot and killed the gunman.	0.0008429074979571991
125	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Approximately 20 people have died after an attacker opened fire inside a gay nightclub in the Florida city of Orlando, police say.	0.0012839365172940748
126	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Officials say at least 49 people were killed and dozens were injured in the shooting.	0.00039750759528450665
127	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	A terrorist opened fire inside a popular Orlando gay club near closing time early Sunday.	0.0011372107649582058
128	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	At least 42 people were taken to hospitals with injuries, police said. The shooter was killed in an exchange of gunfire with police.	0.0003376202129988101
129	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Police in the US city of Orlando are telling people to stay away from a gay nightclub where a shooting has broken out and people are injured.'	0.001081766704756932
130	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	Unconfirmed reports have emerged of a shooting at a nightclub in Orlando, Florida.'	0.0008343395964282355
131	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	At least 50 people are dead and dozens injured after a gunman opened fire at a gay nightclub in Orlando. What exactly happened?'	0.001411413270148675
132	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	1.0
133	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	It's the worst terror attack on American soil since 9/11, and the deadliest mass shooting in U.S. history.'	0.000393471177634785
134	For three harrowing hours, as Omar Mateen carried out his rampage inside the Pulse nightclub in Orlando, clubgoers hid in bathrooms, in air-conditioning vents, under tables.'	The gun massacre Sunday at an Orlando nightclub is the worst in the history of the U.S., where mass shootings are frighteningly common.'	0.0010781506279679994
